message_id,channel_id,external_message_id,message_date,parser_status,symbol,instrument_type,action,message_text
1871,1,2510,2023-11-12 16:48:36+00:00,VALIDATION_FAILED,KLAY,CRYPTO,BUY,"#Freshview 

Klay - 0.164$

Let's do bottom Coining for an immediate tgt of 0.36$++"
1912,1,2725,2024-02-25 15:02:29+00:00,VALIDATION_FAILED,IDEX,CRYPTO,BUY,"#Freshview 

Idex - 0.068$, 25th Feb, 2024.

Breakout above 0.071 and short term tgt 0.137 and long term 0.50$++ 

Available in Wazirx also."
